foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,7391526,Police Station Infrastructure Renovations - Tibu Colombia,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,2358916,Humanitarian Infrastructure - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,2941431,Early Warning Evacuation Infrastructure - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,12938330,Humanitarian Infrastructure - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,217683,Humanitarian Infrastructure Design - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,12747833,Critical Production Equipment - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,247194,Citizen Evaucation Equipment - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,8964022,Modular Power Plants - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,12000000,Humanitarian Infrastructure - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,25000000,Reintegration Facility for Individuals with Prosthetics - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,292683,Police K9 Center - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,16800000,Emergency Bomb Shelters Lozova Schools - Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Conflict and Development Foundation,8892563,Children's Education Infrastructure - Rehabilitation Ukraine,Castroville,TX,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Covenant House New Jersey,609662,-Labor Trafficking Program - US Anti,Newark,NJ,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Criminal Justice Coordinating Council,11560611,Anti-Labor Trafficking Program - US,Atlanta,GA,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Danish Refugee Council,4060989,Support for Humanitarian Demining - Ukraine,1300 Copenhagen K,,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Decatur Park District,63689,Community Support - US,Decatur,IL,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Decatur Public Schools Foundation,9657,Community Support Equipment In Kind - US,Decatur,IL,pdf:470824756_202412
Howard G. Buffett Foundation,2024,Fair Food Standards Council and Coalition of Immokalee Workers,1608500,US Department of Agriculture Pilot Expansion - US,Immokalee,FL,pdf:470824756_202412
