foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Bezos Family Foundation,2023,Hawaii Community Foundation,2030218,General Support,Honolulu,HI,pdf:912073258_202312
Bezos Family Foundation,2023,HealthConnect One,200000,General Support,Chicago,IL,pdf:912073258_202312
Bezos Family Foundation,2023,Healthy Mothers Healthy Babies Coalition of Hawaii,250000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,Heritage University,250000,General Support,Toppenish,WA,pdf:912073258_202312
Bezos Family Foundation,2023,HomeFront,90000,General Support,Lawrenceville,NJ,pdf:912073258_202312
Bezos Family Foundation,2023,Hummingbird Indigenous Family Services,10000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Icahn School of Medicine at Mount Sinai,499500,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Icahn School of Medicine at Mount Sinai,499500,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Impact Public Schools,250000,General Support,Tukwila,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Inner-City Scholarship Fund,250000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Inspire Development Centers,250000,General Support,Sunnyside,WA,pdf:912073258_202312
Bezos Family Foundation,2023,James B. Hunt Jr. Institute for Educational Leadership and Policy,248745,General Support,Cary,NC,pdf:912073258_202312
Bezos Family Foundation,2023,James B. Hunt Jr. Institute for Educational Leadership and Policy,1488336,General Support,Cary,NC,pdf:912073258_202312
Bezos Family Foundation,2023,"Kentucky Derby Festival Foundation, Inc",12000,General Support,Louisville,KY,pdf:912073258_202312
Bezos Family Foundation,2023,Kentucky Student Voice Team,60000,General Support,Lexington,KY,pdf:912073258_202312
Bezos Family Foundation,2023,La Casa Hogar,135000,General Support,Yakima,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Learning and the Brain Foundation,73100,General Support,New Canaan,CT,pdf:912073258_202312
Bezos Family Foundation,2023,Learning and the Brain Foundation,39185,General Support,New Canaan,CT,pdf:912073258_202312
Bezos Family Foundation,2023,"Marcy Lab, Inc.",100000,General Support,Brooklyn,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Martha's Table,250000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,"Maui United Way, Inc.",299931,General Support,Wailuku,HI,pdf:912073258_202312
Bezos Family Foundation,2023,"Miami Bridge Youth & Family Services, Inc.",150000,General Support,Miami,FL,pdf:912073258_202312
Bezos Family Foundation,2023,Mikva Challenge,419341,General Support,Chicago,IL,pdf:912073258_202312
Bezos Family Foundation,2023,Mississippi State University,387615,General Support,Mississippi State,MS,pdf:912073258_202312
Bezos Family Foundation,2023,NYU Grossman School of Medicine,3007995,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,NYU Grossman School of Medicine,3507579,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Narrative 4,5075544,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,National 4-H Council,75000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,National 4-H Council,25000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,National Academy of Sciences,50000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,National Black Child Development Institute,7000,General Support,Silver Spring,MD,pdf:912073258_202312
Bezos Family Foundation,2023,National Black Child Development Institute,421869,General Support,Silver Spring,MD,pdf:912073258_202312
Bezos Family Foundation,2023,National Campaign to Stop Violence,15000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,National Constitution Center,499449,General Support,Philadelphia,PA,pdf:912073258_202312
Bezos Family Foundation,2023,National Council of Young Men's Christian Associations of the U,888162,General Support,Chicago,IL,pdf:912073258_202312
Bezos Family Foundation,2023,"National Hispanic Institute, Inc.",100000,General Support,Maxwell,TX,pdf:912073258_202312
Bezos Family Foundation,2023,National History Day,294480,General Support,College Park,NY,pdf:912073258_202312
Bezos Family Foundation,2023,National Opinion Research Center,375000,General Support,Chicago,IL,pdf:912073258_202312
Bezos Family Foundation,2023,National Opinion Research Center,375000,General Support,Chicago,IL,pdf:912073258_202312
Bezos Family Foundation,2023,National Parent Leadership Institute,450000,General Support,Wilton,CT,pdf:912073258_202312
Bezos Family Foundation,2023,National Wildlife Federation,252313,General Support,Reston,VA,pdf:912073258_202312
Bezos Family Foundation,2023,Native American Community Academy Foundation,100000,General Support,Albuquerque,NM,pdf:912073258_202312
Bezos Family Foundation,2023,New Classrooms Innovation Partners,4056415,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,New Classrooms Innovation Partners,1666075,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,NewSchools Venture Fund,1015109,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,NewSchools Venture Fund,507554,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Open Arms Perinatal Services,240000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Open Doors for Multicultural Families,75000,General Support,Kent,WA,pdf:912073258_202312
Bezos Family Foundation,2023,PLAN International USA,221789,General Support,Providence,RI,pdf:912073258_202312
Bezos Family Foundation,2023,Pahara Institute,649265,General Support,Covina,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Parents as Teachers National Center,50000,General Support,St. Louis,MO,pdf:912073258_202312
Bezos Family Foundation,2023,Peer Health Exchange,100000,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Plymouth Housing,100000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,President and Fellows of Harvard College,250000,General Support,Cambridge,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Program for Early Parent Support (PEPS),100000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,RISE Colorado,100000,General Support,Aurora,CO,pdf:912073258_202312
Bezos Family Foundation,2023,Rainier Scholars,232500,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Rainier Valley Early Learning Campus,2976538,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Raising A Reader National,837523,General Support,Milpitas,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Reach Out and Read Northwest,30000,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,"Reach Out and Read of Greater New York, Inc",50000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Reading Partners,744236,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Relay Graduate School of Education,248745,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Relay Graduate School of Education,2446286,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Rise Up Academy,50000,General Support,Everett,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Robin Hood Foundation,1984313,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,STEM Next Opportunity Fund,212500,General Support,San Diego,CA,pdf:912073258_202312
Bezos Family Foundation,2023,Save the Children,60000,General Support,Fairfield,CT,pdf:912073258_202312
Bezos Family Foundation,2023,"Save the Children Federation, Inc.",2028258,General Support,Fairfield,CT,pdf:912073258_202312
Bezos Family Foundation,2023,"Save the Children Federation, Inc.",2306084,General Support,Fairfield,CT,pdf:912073258_202312
Bezos Family Foundation,2023,"Save the Children Federation, Inc.",2448647,General Support,Fairfield,CT,pdf:912073258_202312
Bezos Family Foundation,2023,"Save the Children Federation, Inc.",599720,General Support,Fairfield,CT,pdf:912073258_202312
Bezos Family Foundation,2023,Scholars Strategy Network,199907,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,School of Leadership Afghanistan,1522663,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Search for Common Ground,1547276,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,"Seeds of Peace, Inc.",121200,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Society for Research on Adolescence,37000,General Support,Middleton,WI,pdf:912073258_202312
Bezos Family Foundation,2023,Solgaard Nyx Foundation,250000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,South Seattle Women's Health Foundation,115000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Southern Education Foundation,1441828,General Support,Atlanta,GA,pdf:912073258_202312
Bezos Family Foundation,2023,Springboard Collaborative,576,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,Springboard Collaborative,594713,General Support,Philadelphia,PA,pdf:912073258_202312
Bezos Family Foundation,2023,Student Sponsor Partners,166600,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Summit Community Center,5000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,SystemsGo,54000,General Support,Fredericksburg,TX,pdf:912073258_202312
Bezos Family Foundation,2023,"TED Foundation, Inc.",4205,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"TED Foundation, Inc.",507115,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"TED Foundation, Inc.",799219,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"TED Foundation, Inc.",1322876,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,TSNE MissionWorks,351541,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,TSNE MissionWorks,993659,General Support,Boston,MA,pdf:912073258_202312
Bezos Family Foundation,2023,"Teachers College, Columbia University",687216,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"Teachers College, Columbia University",394230,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Team Read,112500,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Technology Access Foundation,210000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Teens In Public Services,50000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Televisa Foundation,894308,General Support,Virginia Gardens,FL,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,50000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,18680,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,75000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,199818,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,4582609,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,2971312,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Aspen Institute,3869215,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Buck Institute for Education,1015109,General Support,Novato,CA,pdf:912073258_202312
Bezos Family Foundation,2023,"The Children's Cabinet, Inc.",128450,General Support,Reno,NV,pdf:912073258_202312
Bezos Family Foundation,2023,The Children's Movement of Florida,150000,General Support,Miami,FL,pdf:912073258_202312
Bezos Family Foundation,2023,The Education Trust,126220,General Support,Washington DC,DC,pdf:912073258_202312
Bezos Family Foundation,2023,The Fred Rogers Company,499500,General Support,Pittsburgh,PA,pdf:912073258_202312
Bezos Family Foundation,2023,The Greater Seattle Bureau of Fearless Ideas,90000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,The Masters School,100000,General Support,Dobbs Ferry,NY,pdf:912073258_202312
Bezos Family Foundation,2023,The Masters School,100000,General Support,Dobbs Ferry,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"The Medical College of Wisconsin, Inc.",262000,General Support,Milwaukee,WI,pdf:912073258_202312
Bezos Family Foundation,2023,The Mountain School of Milton Academy,100000,General Support,Vershire,VT,pdf:912073258_202312
Bezos Family Foundation,2023,The Seattle Foundation,337853,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,The Windward School,100000,General Support,White Plains,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Tools of the Mind,529667,General Support,Shirley,MA,pdf:912073258_202312
Bezos Family Foundation,2023,Transcend,2537772,General Support,Hastings-on-Hudson,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Transcend,247020,General Support,Hastings-on-Hudson,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Treehouse,250000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Tt̴waxt Birth Justice Center,27000,General Support,Wapato,WA,pdf:912073258_202312
Bezos Family Foundation,2023,UNICEF USA,54032,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,UNICEF USA,1992611,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,UNICEF USA,278301,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,"URGENT, Inc.",100000,General Support,Miami,FL,pdf:912073258_202312
Bezos Family Foundation,2023,"Uncommon Schools, Inc.",250000,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,United Indians of All Tribes Foundation,100000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University City Children's Center,20000,General Support,St. Louis,MO,pdf:912073258_202312
Bezos Family Foundation,2023,University City Children's Center,106648,General Support,St. Louis,MO,pdf:912073258_202312
Bezos Family Foundation,2023,University of British Columbia,30000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,"University of California, Los Angeles",662537,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,"University of California, Riverside",426438,General Support,Oakland,CA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington,507115,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington Foundation,20000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington I-LABS,485501,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington I-LABS,2199345,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington I-LABS,426438,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,University of Washington I-LABS,1147880,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Walk to the Horizon,1243725,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Walk to the Horizon,252313,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Washington State Department of Commerce,300000,General Support,Olympia,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Welcoming America,32384,General Support,Atlanta,GA,pdf:912073258_202312
Bezos Family Foundation,2023,Wellspring Family Services,250000,General Support,Seattle,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Westchester Jewish Community Services,250000,General Support,White Plains,NY,pdf:912073258_202312
Bezos Family Foundation,2023,William T. Grant Foundation,216667,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,World Forum Foundation,15000,General Support,Lincoln,NE,pdf:912073258_202312
Bezos Family Foundation,2023,World Savvy,8624,General Support,Minneapolis,MN,pdf:912073258_202312
Bezos Family Foundation,2023,Worldreader.Org,52500,General Support,San Francisco,CA,pdf:912073258_202312
Bezos Family Foundation,2023,YWCA White Plains & Central Westchester,50000,General Support,White Plains,NY,pdf:912073258_202312
Bezos Family Foundation,2023,Yakima Valley Farm Workers Clinic,250000,General Support,Toppenish,WA,pdf:912073258_202312
Bezos Family Foundation,2023,Young Women Empowered,163000,General Support,,,pdf:912073258_202312
Bezos Family Foundation,2023,ZERO TO THREE,100000,General Support,Washington,DC,pdf:912073258_202312
Bezos Family Foundation,2023,iMentor,199864,General Support,New York,NY,pdf:912073258_202312
Bezos Family Foundation,2023,iMentor,1116649,General Support,New York,NY,pdf:912073258_202312
