foundation,tax_year,recipient,amount,purpose,city,state,irs_object_id
Charles and Lynn Schusterman Family Foundation,2021,BREAKTHROUGH COLLABORATIVE PO BOX 71420,250000,GENERAL OPERATING SUPPORT,OAKLAND,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BREAKTHROUGH COLLABORATIVE PO BOX 71420,20000,PROMISE54 DEI ACCELERATOR PARTICIPATION,OAKLAND,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROKEN ARROW PUBLIC SCHOOLS FOUNDATION INC PO BOX 2695,38530,STEM SUPPORT,BROKEN ARROW,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROOKINGS INSTITUTION,140000,GENERAL OPERATING SUPPORT TO HAMILTON PROJECT,AVENUE NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROTHERS EMPOWERED TO TEACH INITIATIVE,250000,GENERAL OPERATING SUPPORT,NEW ORLEANS,LA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROWN UNIVERSITY OF PROVIDENCE,575372,ANNENBERG INSTITUTE: EARLY LITERACY TUTORING EFFORTS,ANGELL ST PROVIDENCE,RI,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROWN UNIVERSITY OF PROVIDENCE,300000,"NATIONAL STUDENT SUPPORT ACCELERATOR: ENABLING SCALE IN HIGH-IMPACT TUTORING, PHASE ONE",ANGELL ST PROVIDENCE,RI,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,BROWN UNIVERSITY OF PROVIDENCE,51500,"RESEARCH PARTNERSHIP FOR PROFESSIONAL LEARNING (RPPL), FOCUSED ON CREATING R&D INFRASTRUCTURE: A PLANNING GRANT REQUEST",ANGELL ST PROVIDENCE,RI,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CALIFORNIA COMMUNITY FOUNDATION,350000,SUMMER LEARNING: CCF SUMMER LEARNING INITIATIVE,ST. LOS ANGELES,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CALIFORNIA STATE UNIVERSITY FOUNDATION,555500,SCHOLARSHIPS FOR ASPIRING BLACK EDUCATORS,SHORE LONG BEACH,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAMBIAR EDUCATION,500000,INCUBATING KOCKLER ELA PROJECT,SAN DIEGO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAMBIAR EDUCATION,75000,POST-SECONDARY ACCESS AND SUCCESS INITIATIVE,SAN DIEGO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAMELBACK VENTURES INC,300000,GENERAL OPERATING SUPPORT,BLVD NEW ORLEANS,LA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAMELBACK VENTURES INC,30000,PROJECT SUPPORT FOR THE ROOTED COLLABORATIVE,BLVD NEW ORLEANS,LA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAMP FIRE GREEN COUNTRY INC,50000,LGBTQ YOUTH PROGRAMMING SUPPORT,BOSTON AVE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CANDID,25000,GENERAL OPERATING SUPPORT,SLIP NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CAROLINA ABORTION FUND PO BOX 51534,150000,GENERAL OPERATING SUPPORT,DURHAM,NC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CATHOLIC CHARITIES OF EASTERN OKLAHOMA INC,26633,ADULT EDUCATION COMPUTER LAB UPGRADE,HARVARD AVENUE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CATHOLICS FOR CHOICE,150000,GENERAL OPERATING SUPPORT,WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"CHARITY, TYPE 1 CENTER FOR INDIVIDUALS WITH PHYSICAL CHALLENGES LTD",5000,GENERAL OPERATING SUPPORT,UTICA AVE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CENTER FOR INTERCULTURAL ORGANIZING DBA UNITE OREGON,31580,GENERAL OPERATING SUPPORT,ND AVE PORTLAND,OR,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CENTER FOR REPRODUCTIVE RIGHTS INC,400000,PROJECT SUPPORT FOR U.S. PROGRAM,NEW YORK,NY,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CENTER ON BUDGET AND POLICY PRIORITIES,1000000,GENERAL OPERATING SUPPORT,WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHALKBEAT INC,150000,,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHALKBEAT INC,75000,,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHALLAH FOR HUNGER,190000,GENERAL OPERATING SUPPORT,WYNNEWOOD,PA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHAMBER MUSIC TULSA INC,10000,ANY GIVEN CHILD,LEWIS AVENUE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHARTER FUND INC,333333,EMERGING CMO FUND,TH AVE BROOMFIELD,CO,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"CHILD ABUSE NETWORK, INC.",90000,FAMILY ADVOCACY PROGRAMMING AND INTERVIEW SPACE RENOVATION,SHERIDAN RD TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CHOREGUS PRODUCTIONS INC,35000,,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CIRCLE CINEMA FOUNDATION INC,7500,GENERAL OPERATING SUPPORT,LEWIS AVE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"CITY KIDS TO WILDERNESS PROJECT, INC.",100000,SUMMER LEARNING GRANT,STREET NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"CITY YEAR, INC.",350000,GENERAL OPERATING SUPPORT,TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CIVIC NATION,150000,EMERGENCY SUPPORT FOR THE UNITED STATE OF WOMEN,WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CIVIL RIGHTS CORPS,500000,GENERAL OPERATING SUPPORT,AVE. NW WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CLIMB HIRE INC,250000,ADDITIONAL SUPPORT FOR PROGRAM EXPANSION,BOYNTON AVENUE BERKELEY,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CLIMB HIRE INC,250000,GENERAL OPERATING SUPPORT,BOYNTON AVENUE BERKELEY,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CLINIC ACCESS SUPPORT NETWORK,150000,GENERAL OPERATING SUPPORT,SPRINGS RD DALLAS,TX,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COLLEGE BOUND ACADEMY INC.,10000,PROJECT LEAD THE WAY AND EXECUTIVE COACHING,EAST AVE TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COLLEGIATE HALL INC,130000,GENERAL OPERATING SUPPORT,TH PL. TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMIT2DALLAS DBA THE COMMIT PARTNERSHIP,1000000,GENERAL OPERATING SUPPORT,DALLAS,TX,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITIES FOUNDATION OF OKLAHOMA INC PO BOX 21210,177000,TULSA ENGINEERING SCHOLARSHIP,OKLAHOMA CITY,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITY ACTION PROJECT OF TULSA COUNTY INC,250000,FAMILY ADVANCEMENT SERVICES,TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITY FOUNDATION OF NEW JERSEY PO BOX 33835 KNOX HILL RD,1000000,EMERGENCY SUPPORT: JERSEY PANDEMIC RELIEF FUND TO SUPPORT UNDOCUMENTED NJ RESIDENTS MATCHING GRANT,MORRISTOWN,NJ,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITY FOUNDATION OF NORTHEAST IOWA,100000,THE FREEDOM SCHOOL PROJECT,CIRCLE CEDAR FALLS,IA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITY INITIATIVES,100000,MENTAL HEALTH FIRST AID TRAINING,SAN FRANCISCO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COMMUNITY INITIATIVES,6600,RESILIENCY ROUNDTABLE & MENTAL HEALTH CONSULTANCY,SAN FRANCISCO,CA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"COMPUTER SCIENCE TEACHERS ASSOCIATION, LLC",5000,GENERAL OPERATING SUPPORT,MONTEREY AVENUE CHICAGO,IL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"COUNCIL OF CHIEF STATE SCHOOL OFFICERS ONE MASSACHUSETTS AVE NW, SUITE",250000,,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"COUNCIL OF CHIEF STATE SCHOOL OFFICERS ONE MASSACHUSETTS AVE NW, SUITE",1000000,,,,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COUNCIL OF THE GREAT CITY SCHOOLS,300000,STUDY ON HOW DISTRICTS USE THEIR FEDERAL MONEY DURING THE PANDEMIC,N WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"COUNCIL ON CRIMINAL JUSTICE, INC.",75000,PROJECT SUPPORT TO EXPANDING MEDICAID FOR THE INCARCERATED,AVE SE WASHINGTON,DC,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,COUNCIL ON FOUNDATIONS INC PO BOX 75661,35000,GENERAL OPERATING SUPPORT,BALTIMORE,MD,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,"CUSTOM AND CRAFT JEWISH RITUALS, INC.",500000,DIY JEWISH NETWORK (JCRIF RESET),E JERSEY CITY,NJ,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,CYSTIC FIBROSIS FOUNDATION,5000,GENERAL OPERATING SUPPORT,TULSA,OK,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DANIELSON GROUP INC,20000,DEI ACCELERATOR PARTICIPATION,DIVISION STREET CHICAGO,IL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DANIELSON GROUP INC,380000,REVISING THE FRAMEWORK FOR TEACHING AND FRAMEWORK FOR TEACHING CLUSTERS - PHASE II,DIVISION STREET CHICAGO,IL,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DARIM ONLINE,80000,JEWISH COMMUNITY RESPONSE AND IMPACT FUND ALIGNED GRANT PROGRAM,AVE N SEATTLE,WA,char500:731312965_2021
Charles and Lynn Schusterman Family Foundation,2021,DC JUSTICE LAB PO BOX 90048 WASHINGTON,100000,GENERAL OPERATING SUPPORT,,,char500:731312965_2021
